用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
AF04DA4FC02FD5415905E310A47C4971,男,43,天津,公众客户,158,频繁换机型,小米,4G,ANDROID 5.1.1,1,自有渠道,558.117925,0,57.37,0,2.7,3.1,0,0.35,否,4G本地语音套餐,4G本地语音套餐-46元套餐
B06E249D4E7519A95EB51B0ABE0882DC,女,29,沧州,公众客户,31,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,2407.813596,0.033116,127.8,6,0.6,3.9,4.2,36.9,否,本地套餐,4G本地套餐-36元套餐
B08C98A4864862CF4604C0522974ECFA,女,36,邯郸,公众客户,4,频繁换机型,维沃,2G,ANDROID,2,社会渠道,0.173594,0,19.25,0.7,0.3,0.4,0.4,8.55,否,4G本地语音套餐,4G本地语音套餐-10元套餐
B0D754C142DCC4E72C2B6908BBDF1C22,女,24,唐山,公众客户,8,频繁换机型,三星,4G,ANDROID 4.3,1,自有渠道,467.476189,0,32.4,5.8,5.4,0.4,0.4,0.6,否,本地套餐,4G本地套餐-26元套餐
B0EA611EB9E787859568154F7F01029F,女,47,承德,公众客户,1,频繁换机型,魅族,4G,ANDROID 5.1.0,2,社会渠道,134.61026,0,65.9,49.6,40.5,9.1,9.1,6.3,否,4G本地语音套餐,4G本地语音套餐-10元套餐
B0F0353FB63DDDDD55F6565FF7AB29C6,男,41,沧州,公众客户,10,频繁换机型,苹果,4G,IOS 7.0,1,自有渠道,42.606287,0,24.35,12.7,12.6,0.1,0.1,1.65,否,4G本地语音套餐,4G本地语音套餐-10元套餐
B12850C7AB6FE0753FBE1E454F2097F5,男,21,北京,公众客户,48,频繁换机型,苹果,4G,IOS,2,社会渠道,309.973492,309.973492,126.6,107.4,93,14.4,14.4,3.2,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
B26D25B4CA4917C7C5115F4D391ADEDC,无法区分,,沧州,集团-中小企,21,频繁换机型,苹果,3G,IOS,2,社会渠道,0.174198,0,17.8,5.4,0.3,0.1,0.1,2.4,否,4G本地语音套餐,4G本地语音套餐-10元套餐
B2AE953087B043E1B653DB1680E85E6C,女,47,天津,公众客户,129,频繁换机型,华为,2G,ANDROID 4.4.2,2,社会渠道,105.867154,0.000246,59.58,8.75,0.3,10,0,16.83,否,本地套餐,4G本地套餐-40元套餐（京津）
B2E4913712B8849987F94049FFA8C9A4,男,33,天津,公众客户,41,频繁换机型,苹果,3G,IOS,1,自有渠道,319.78245,0,55.5,18,6.6,5.2,1.2,23.5,否,省内流量套餐,10元150MB省内流量套餐
B355FFDF36342089584A0956C69FD754,女,52,石家庄,公众客户,3,频繁换机型,索尼,3G,ANDROID,2,社会渠道,331.312886,169.997566,42.5,22.7,22.5,0.2,0.2,9.8,否,4G本地语音套餐,4G本地语音套餐-10元套餐
B37054CF3D500758B2ADBAFC03888284,女,51,北京,公众客户,55,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,1248.082135,175.411002,122.58,25.6,24.9,1.3,0,11.52,是,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
B523EE17950817E395298F8EA362775A,男,31,唐山,公众客户,1,频繁换机型,三星,3G,ANDROID 5.1,1,自有渠道,35.004862,1.912681,5.56,3.51,3.6,0.3,0.27,0.45,否,4G本地行业套餐,集团客户4G企业套餐（河北试点）
B6103778FAE97A418E48A7D4558ABA64,男,27,北京,公众客户,2,频繁换机型,欧珀,4G,ANDROID,1,自有渠道,1292.022329,1292.022329,454.9,378.3,177.3,193,193,26.6,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
B61D6E2986A2E7FDA6FCB39E184BD81F,男,24,邢台,公众客户,38,频繁换机型,三星,3G,ANDROID,1,自有渠道,350.075755,255.127152,80.96,11.6,18.3,1.3,0,30.75,是,本地套餐,4G本地套餐-26元套餐
5E626AAA454AFE2C28725753095E49A7,无法区分,26,北京,公众客户,1,频繁换机型,三星,3G,ANDROID,1,自有渠道,22.024652,0,7.25,7.1,6.9,0.2,0.2,0.15,否,基本套餐,4G全国套餐-106元套餐（新）
6035B94E1D6A8AF7F8E6041A68AF4D33,男,26,北京,公众客户,17,频繁换机型,小米,4G,ANDROID 4.4.2,1,自有渠道,1013.133751,0.663549,62.1,5.2,0.3,4,4.9,13.9,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
603E8B28104807DEF6DFE8A17B135AB2,女,21,天津,公众客户,14,频繁换机型,金立,3G,ANDROID,2,社会渠道,1263.062987,0,108.8,59.5,59.4,0.1,0,9.3,否,本地套餐,4G本地套餐-40元套餐（京津）
605ED031258A1003C48E108071882399,男,33,保定,公众客户,10,频繁换机型,小米,2G,ANDROID 4.4.2,2,社会渠道,131.491548,0,181.6,64.5,39.9,19.3,19.3,107.1,否,4G本地语音套餐,4G本地语音套餐-10元套餐
60DD3E84A6FB17E3D63ADFC2DE2A2240,男,46,天津,公众客户,157,频繁换机型,金立,4G,ANDROID,1,自有渠道,1623.273906,7.816917,187.63,5.4,2.4,3,0,72.6,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
614756E8342679F458083A6447F6ECF6,男,33,北京,公众客户,7,频繁换机型,酷派,2G,ANDROID,1,自有渠道,218.054305,218.054305,11.6,1,0.6,0.4,0.4,0.6,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
62660836DEAE2DA33CDF67DF7F549D51,男,25,石家庄,公众客户,5,频繁换机型,福中福,2G,,2,社会渠道,0.096054,0,27.75,0.5,0.3,0.2,0.2,17.25,否,4G本地语音套餐,4G本地语音套餐-10元套餐
627B457E861A194AD87A6C5B7AEE05F6,男,68,北京,公众客户,1,频繁换机型,金立,2G,,1,自有渠道,0.279339,0,3.35,0.8,0.3,0.5,0.5,2.55,否,基本套餐,4G全国套餐-76元套餐（新）
62E7B537A9248945128DF00B0B966CA3,男,31,天津,公众客户,1,频繁换机型,GLIDA,4G,,1,自有渠道,0.526539,0,3.2,1.8,0.3,1.5,1.5,1.4,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
63FCD651AF51270A6E7A82C107CDE22E,男,23,天津,公众客户,19,频繁换机型,联想,2G,ANDROID,1,自有渠道,136.437319,51.6808,56.15,15.7,15.6,0.1,0,0.45,否,本地套餐,4G本地套餐-40元套餐（京津）
649A87234464C47F5EE26A84F96DB9CB,男,26,廊坊,公众客户,1,频繁换机型,维沃,4G,ANDROID,2,社会渠道,255.852725,219.016104,100.05,20.62,16.8,2.7,2.7,42.55,是,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
659930452EC2A39FEB5DD64C71D7EA04,女,23,天津,公众客户,20,频繁换机型,魅族,2G,ANDROID 4.4,1,自有渠道,198.962113,0,36.35,22.2,7.2,15,0,0.15,否,省内流量套餐,10元150MB省内流量套餐
662BF1CAE31636B7A5831C141BA0FAE5,男,29,北京,公众客户,1,频繁换机型,苹果,4G,IOS,1,自有渠道,38.707455,0,17.45,13.1,11.7,1.4,1.4,4.35,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
6660A885F121B1C6E5468A3BC21A20CF,女,21,秦皇岛,公众客户,1,频繁换机型,乐视,4G,ANDROID,2,社会渠道,65.748977,0,31.15,29.8,19.8,10,10,1.35,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
667D753A117551B1CF13EB791D020D78,男,29,天津,公众客户,4,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,396.80742,7.368442,30.3,23.4,23.1,0.3,0.3,0.9,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
6790556EF612055EAA3BA28FC52A5303,男,47,北京,公众客户,47,频繁换机型,华为,4G,ANDROID 4.4.2,2,社会渠道,1423.064631,0,359.12,0,0.6,10,0,16.43,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
67AD5CB2C341874AE04020AE09867A4E,女,25,天津,公众客户,28,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,1358.288352,0,101.63,58.9,48.9,10,0,11.25,否,本地套餐,4G本地套餐-26元套餐
67C82AC635DC2CF986A1B4EBD8B377AA,男,31,天津,公众客户,8,频繁换机型,苹果,3G,IOS,1,自有渠道,453.036683,0,179.49,0,7.5,3,0,162.11,否,本地套餐,4G本地套餐-26元套餐
68176796588628C89035B88D51B3393C,女,29,天津,公众客户,5,频繁换机型,华为,4G,ANDROID 5.0,2,社会渠道,425.758733,0,74.25,0,7.8,5,0,0.45,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
68A556656E43251BBD71C22E09DFC991,无法区分,26,北京,公众客户,19,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,180.022578,87.186789,997.96,24.58,170,24.48,3.3,672.38,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
69BEE2F965DCFBDAA37D9FFEA26273BE,女,31,北京,公众客户,1,频繁换机型,友利通,2G,,1,自有渠道,0.015771,0,78.55,0.5,0.3,0.2,0.2,58.05,是,省内流量套餐,10元150MB省内流量套餐
6A3408DA44CF007C3D844030CB607D58,女,25,衡水,公众客户,3,频繁换机型,贝尔丰,2G,,2,社会渠道,0.010461,0,80.25,0.5,0.3,0.2,0.2,69.75,否,4G本地语音套餐,4G本地语音套餐-10元套餐
6A4DC088DFACB45951F14C4FB37048C6,女,53,天津,公众客户,11,频繁换机型,三星,3G,ANDROID 4.2.2,1,自有渠道,546.24538,0,80.43,26.69,23.4,8,0,9.05,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
6A775E85B4D4BBF1F72F6E5409F2423E,女,46,沧州,公众客户,6,频繁换机型,三星,3G,ANDROID 4.1.1,2,社会渠道,0.580993,0,11.35,0.6,0.3,0.3,0.3,0.75,否,4G本地语音套餐,4G本地语音套餐-10元套餐
BEEFFAC617B3239DB8EF5D0097432C2B,男,36,北京,公众客户,10,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,585.713721,585.713721,18.25,2.4,2.1,0.3,0.3,5.85,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
BF506AF016444F20B804EEA3C94F0BCD,男,40,天津,公众客户,116,频繁换机型,华为,2G,ANDROID 4.4.4,1,自有渠道,19.630619,0.00276,110.35,10.65,0.3,14,0,29.7,是,本地套餐,4G本地套餐-70元套餐
9C908ACE124C1AA88E5DA81325E9DBD8,男,51,天津,公众客户,72,频繁换机型,三星,3G,ANDROID 4.3,1,自有渠道,2351.380735,0.139095,178.3,53.5,43.5,10,0,31.8,否,4G本地语音套餐,4G本地语音套餐-46元套餐
9D6318B3F49E8F1D314989C2B7E40BD3,女,24,北京,公众客户,8,频繁换机型,小米,4G,ANDROID 5.0.2,2,社会渠道,2421.139132,0,150.8,111.5,110.7,0.8,0.8,3.3,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
9DD0E790EA8FC36D502B64F6A23D3982,女,47,北京,公众客户,47,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,1857.393335,916.327311,170.48,23.02,20.7,2.32,0,31.46,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
9E6E0532F183652EBCC50277A16A5A7F,男,26,北京,公众客户,19,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,2724.46664,0,176.44,63.04,60,3.04,0,1.86,否,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
9E99E038CDE8062012218E88996D68EF,女,45,北京,公众客户,129,频繁换机型,小米,4G,ANDROID 4.4.2,2,社会渠道,2267.884212,0,219.95,125,119.4,5,0,13.95,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
9F4098F7BDF71A4FBFBB47E0592F2401,男,47,承德,公众客户,12,频繁换机型,美图,4G,ANDROID,2,社会渠道,547.345391,0.672052,40.25,8.7,8.4,0.3,0.3,5.55,否,本地套餐,4G本地套餐-26元套餐
A04159BAC00C7DF3E16D1AC0D95276BF,女,22,天津,公众客户,1,频繁换机型,魅族,4G,ANDROID 5.0.1,2,社会渠道,664.413362,591.460614,62.35,60.1,58.8,0.1,0.1,2.25,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
A16254AED107915673637DABA48FBB17,女,37,天津,公众客户,10,频繁换机型,欧珀,4G,ANDROID,2,社会渠道,875.772318,94.117983,128.94,33,28.5,8,0,53.35,否,本地套餐,4G本地套餐-40元套餐（京津）
A16511C60A62BA00D47228745E303672,男,25,北京,公众客户,1,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,283.164955,0,15.2,9.8,9,0.8,0.8,5.4,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
A2286974FAA4C3B7A77A500FFFD51CBF,男,55,北京,公众客户,1,频繁换机型,三星,3G,ANDROID 4.2.2,1,自有渠道,0.175549,0,1.4,0.8,0.3,0.5,0.5,0.6,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
A23867EECF098555B05497ABB9091344,男,31,北京,公众客户,1,频繁换机型,三星,4G,,1,自有渠道,4.72561,0,2.8,1.8,1.5,0.3,0.3,1,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
A261575AFD76EF9BB4814228B26738E2,男,54,天津,公众客户,58,偶尔换机型,苹果,4G,IOS 9.0,2,社会渠道,158.75073,55.857915,52.52,14.52,16.8,10.84,4,17.2,否,本地套餐,4G本地套餐-26元套餐
A2628E6F8D5262AB4FBC1E8F017B3826,无法区分,,天津,集团-中小企,30,频繁换机型,达能,2G,,1,自有渠道,1.135602,0.030631,119.6,13.3,0.3,8,0,6.3,否,4G本地行业套餐,集客4G本地行业套餐-30元套餐
C805CE014F2D50600DC794AAF8FEE9C5,男,24,天津,公众客户,34,频繁换机型,苹果,3G,IOS 6.0,2,社会渠道,296.394022,81.895435,59.65,0.6,0.3,0.3,0,19.05,是,校园专属-小区A套餐,校园专属-沃派30元A套餐（校园）
C904B4F31B4593BF5A28949C7E555CDF,女,29,北京,公众客户,47,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,1648.577002,1321.542968,277.76,98.32,97.2,1.12,0,41.44,否,国内流量套餐,60元1GB国内流量套餐
C9E9B1AB9979457FFBDDAB6FE0527AF7,男,27,北京,公众客户,5,频繁换机型,魅族,4G,ANDROID 4.4.2,1,自有渠道,100.319781,0,27.3,9.8,5.7,4.1,4.1,7.5,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
CA6B6E4B4D4FD36C933986F7C06ACBCD,女,26,北京,公众客户,27,频繁换机型,苹果,4G,IOS 9.0,2,社会渠道,2729.39176,2700.616814,258.76,5.72,5.2,0.52,0,31.04,否,国内流量套餐,90元2GB国内流量套餐
CD0F929041DFFB8D94143D96358F66B9,女,53,北京,公众客户,1,频繁换机型,小米,3G,ANDROID,1,自有渠道,521.682009,242.852486,116.3,73.5,72.9,0.6,0.6,2.8,否,本地套餐,4G本地套餐-40元套餐（京津）
CD2DFC60E98BDC4E9258A9E01DBC53E8,女,39,北京,公众客户,13,频繁换机型,小米,2G,ANDROID 4.4.4,1,自有渠道,54.73394,17.794393,55.7,15.1,5.4,10,0,0.6,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
CE3297031AF2F89891B4B4F23735A6D1,女,36,邯郸,公众客户,23,频繁换机型,欧珀,2G,ANDROID 4.3,2,社会渠道,212.578195,0,20.45,3.1,3,0.1,0.1,1.35,否,本地套餐,4G本地套餐-16元套餐
CE44930F37659EA720C7CC3C6B8EEFC2,男,42,承德,公众客户,2,频繁换机型,纽曼,4G,,2,社会渠道,76.452845,76.452845,36.8,23.6,23.1,0.5,0.5,3.2,否,4G本地语音套餐,4G本地语音套餐-10元套餐
A25398809589EBAA4A627F43E7041F23,女,22,北京,公众客户,2,频繁换机型,三星,4G,ANDROID 4.4.4,1,自有渠道,181.606656,46.44986,117.7,10.5,4.4,6.1,6.1,99.2,否,国内流量套餐,10元100MB国内流量套餐
A29C4F109BA6544656C99CB3B2D9CB44,男,38,石家庄,公众客户,1,频繁换机型,酷派,2G,ANDROID,2,社会渠道,86.258818,5.789659,47.48,5.1,1.8,3.3,3.3,41.85,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
A2C57853455215005A24D02029D4E669,男,29,廊坊,公众客户,1,频繁换机型,金立,4G,ANDROID,2,社会渠道,199.087137,0,72.3,62.4,60,2.4,2.4,9.9,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
A30BE757035A246B5E7C549C2B62B011,男,41,天津,公众客户,124,频繁换机型,华为,4G,ANDROID 5.0,1,自有渠道,0.056642,0,27.55,0.5,0.3,0.2,0,1.05,否,4G本地语音套餐,4G本地语音套餐-26元套餐
A3B5EE3915B8FEF31E5094033EA8A5E9,男,32,北京,公众客户,63,频繁换机型,华为,4G,ANDROID,2,社会渠道,1920.245884,744.857394,168.5,55,13.5,30,0.1,7.5,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
A403AB241EF7C3712B72A6D3796F22ED,无法区分,26,北京,公众客户,4,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,3772.119039,113.970338,158.8,86.2,72.6,13.6,13.6,0.6,否,国内流量套餐,90元2GB国内流量套餐
A4D03760D6E24FAE6311223D9A00B1F2,男,36,沧州,公众客户,122,频繁换机型,维沃,3G,ANDROID,1,自有渠道,619.456042,0.893333,71.8,35.4,30.6,1.5,1.5,0.4,否,本地套餐,4G本地套餐-16元套餐
A5E94BDFFCDA7B3C91FC65CBD9339BDB,男,35,天津,公众客户,98,频繁换机型,三星,3G,ANDROID 4,1,自有渠道,121.004428,0.409863,83.35,6.6,0.3,6,0.3,30.75,否,本地套餐,4G本地套餐-46元套餐（全国）
A6E0C6325967C0954A769BDF0F890787,男,31,北京,公众客户,43,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,1563.076657,229.946998,309.87,10.3,61.625,1.3,0,162.82,否,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
60C3A393E9C504B7B29D40034C237099,男,20,天津,公众客户,32,频繁换机型,魅族,4G,ANDROID 5.1,2,社会渠道,2457.804105,78.919387,113.59,54.6,25.5,0.1,0,2.1,否,省内流量套餐,20元450MB省内流量套餐
61D728856CC3015B570584AF4139005D,女,28,天津,公众客户,23,频繁换机型,华为,4G,ANDROID 4.4,2,社会渠道,4316.358215,0,243.9,138.3,60,18.3,18.3,99.6,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
62D2B369468323E19D91E5D1ACCB57AB,男,23,北京,公众客户,1,频繁换机型,三星,4G,ANDROID 6.0,1,自有渠道,567.535484,20.905599,36.2,6.4,6.3,0.1,0.1,2.8,否,省内流量套餐,60元1.5GB省内流量套餐
63B30F86A2694D0DBB8F5152C00EB1DE,男,48,天津,公众客户,1,频繁换机型,小米,4G,ANDROID 4.4.2,2,社会渠道,169.793289,2.002312,7.3,1.3,0.9,0.4,0.4,6,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
64365239337D99C2ABDD1469062C6EEC,男,38,天津,公众客户,5,频繁换机型,维沃,4G,ANDROID,1,自有渠道,440.818117,33.83253,57.7,0.6,10.2,0.1,0,17.1,否,本地套餐,4G本地套餐-40元套餐（京津）
643EC86B70ADF6F2E709EB0D35991D54,男,24,天津,公众客户,41,频繁换机型,小米,4G,ANDROID 5.0.2,2,社会渠道,4957.121619,4349.629651,154.95,49.1,0.4,0.1,0,11.85,否,国内流量套餐,90元2GB国内流量套餐
645235AF4069134B138C8798E5FE445C,男,47,北京,公众客户,1,频繁换机型,三星,3G,ANDROID 4.1.1,1,自有渠道,334.476311,0,103.9,100.9,99.9,0.4,0.4,3,否,省内流量套餐,20元450MB省内流量套餐
66BEE7BA4C4F671944E3407B8B8A76A1,男,49,张家口,公众客户,4,频繁换机型,中兴,4G,ANDROID 4.4.2,2,社会渠道,520.633171,0,113.7,56.4,51.3,3.3,3.3,21.3,否,本地套餐,4G本地套餐-16元套餐
6716D5E96C23DF536B7AF6C3B2EC06AA,男,19,天津,公众客户,1,频繁换机型,苹果,3G,IOS,1,自有渠道,521.872824,0,90.71,60.3,60,0.3,0.3,30.41,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
673555BCCC0C4F03DFA29011F9A5F2CB,女,52,天津,公众客户,52,频繁换机型,小米,2G,ANDROID 4.4.2,1,自有渠道,371.049942,0,188.05,111.9,111.6,0.1,0,6.15,否,4G本地语音套餐,4G本地语音套餐-70元套餐
678C60B0DC32F8585D0842419FC137EB,男,23,石家庄,公众客户,2,频繁换机型,兴华宝,2G,ANDROID 5.1,2,社会渠道,100.172786,100.172786,26.85,1,0.9,0.1,0.1,8.85,否,4G本地语音套餐,4G本地语音套餐-10元套餐
67C5FF8AB2ED59646BB7418D56357171,男,43,天津,公众客户,1,频繁换机型,E派,2G,ANDROID 4.3,2,社会渠道,349.55227,78.637359,25.3,24.7,23.7,1,0.5,0.6,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
68D50EA4FBB1C999F04DE10277445338,女,51,天津,公众客户,119,频繁换机型,,0,,1,自有渠道,0.037595,0,38.25,0,0.3,3,0,4.25,否,4G本地语音套餐,4G本地语音套餐-26元套餐
691B39D14904DEF4C2357717F87AE1D8,男,25,石家庄,公众客户,4,频繁换机型,魅族,4G,ANDROID 5.1.0,1,自有渠道,1132.834871,131.901704,163.9,84.9,84.9,0.5,0,37.5,否,本地套餐,4G本地套餐-36元套餐
CDB0C22A23D7E3BC7B02EEBC3C313B6A,女,21,天津,公众客户,8,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,2867.163869,1312.811745,203.91,72,69.3,0.1,0,79.9,否,本地套餐,4G本地套餐-40元套餐（京津）
CE80B76E8E97C4A40A21343D861FE721,女,32,沧州,公众客户,40,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,109.879988,0,54.85,33.6,33,0.6,0.6,11.25,否,4G本地语音套餐,4G本地语音套餐-10元套餐
CEFB0EC7FD03972A5F0861C934E7329D,男,33,北京,公众客户,52,频繁换机型,苹果,3G,IOS,2,社会渠道,449.712041,449.712041,71.05,4,1.8,2.2,2.2,7.05,否,国内流量套餐,10元100MB国内流量套餐
CF7B462E04D3F9929A8320DAA116FEA5,女,27,北京,公众客户,3,频繁换机型,三星,2G,ANDROID 4.2.2,1,自有渠道,37.172715,0,16.25,4.9,3.9,1,1,1.35,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
D00A7829F2209CE48A7E6B95A72271C7,女,44,天津,公众客户,73,频繁换机型,华为,4G,ANDROID 5.0.2,1,自有渠道,3314.136318,0,57.45,20.7,8.7,3,0,0.75,否,本地套餐,4G本地套餐-26元套餐
D02925F75E0FF12E07559B09BF8BDDB6,女,28,北京,公众客户,70,频繁换机型,华为,4G,ANDROID 4.4.2,1,自有渠道,2110.010527,784.392767,296.06,3.26,3.2,0.26,0,28.8,是,国内流量套餐,90元2GB国内流量套餐
D2875B2BC8C55EAB5BEDE5C9E034BE3C,男,26,天津,公众客户,42,频繁换机型,欧珀,4G,ANDROID,2,社会渠道,231.256714,5.79449,65.4,36.4,26.4,10,0,15,否,国内流量套餐,10元100MB国内流量套餐
D39A6154A66D9CF3F3887812EE36C377,女,47,天津,公众客户,14,频繁换机型,维沃,3G,ANDROID,2,社会渠道,564.374653,157.015092,127.6,55.4,47.4,8,0,32.2,否,本地套餐,4G本地套餐-40元套餐（京津）
D422E95C02808B4DB18DBB07A0653D77,男,17,天津,公众客户,9,频繁换机型,魅族,4G,ANDROID 5.1,2,社会渠道,3096.093323,358.857228,68.38,23.5,12.9,0.4,0,3.4,否,本地套餐,4G本地套餐-40元套餐（京津）
D44851A5603385EB16B5E2976AE13966,女,28,北京,公众客户,36,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,511.230827,0,43,0.6,1.8,0.2,0.2,20.4,否,国内流量套餐,20元300MB国内流量套餐
D4D0AA4C000E6765862D2BF46B35568D,男,36,北京,公众客户,63,频繁换机型,苹果,4G,IOS 8.0,2,社会渠道,520.761584,0,120.48,6.02,4.5,1.52,0,66.46,否,省内流量套餐,10元150MB省内流量套餐
D5100D385828E48236D74FD75F477BE3,女,61,承德,公众客户,6,频繁换机型,三星,3G,ANDROID,1,自有渠道,1.297948,0.002495,51.4,1,0.6,0.4,0.4,40.4,否,4G本地语音套餐,4G本地语音套餐-10元套餐
DC4FCDDC5CF8CB1F80FDE138B09F8395,女,34,北京,公众客户,78,频繁换机型,苹果,4G,IOS 9.0,1,自有渠道,1287.645981,63.950904,179.14,4.56,80,4.56,0,49.58,否,本地套餐,4G本地套餐-40元套餐（京津）
DC98FB38C8841DBCF0ABB933485D7525,女,34,邯郸,公众客户,9,频繁换机型,小米,4G,ANDROID 4.4.4,2,社会渠道,0.826957,0,19.4,0.7,0.3,0.4,0.4,8.7,是,4G本地语音套餐,4G本地语音套餐-10元套餐
DCDE87B2B25C27191535AC9DDAE73D81,女,26,天津,公众客户,1,频繁换机型,欧珀,4G,ANDROID,2,社会渠道,165.993159,3.62837,12.3,1.5,1.2,0.3,0.3,10.8,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
DD686D4CD6DFE195EE2872C62D937105,男,27,天津,公众客户,2,频繁换机型,三星,3G,ANDROID 4.3,1,自有渠道,1034.47945,0,59.67,2.9,2.7,0.2,0,0.8,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
DF446B1FA1DDDD7251B1CD2148FBBC85,男,46,北京,公众客户,5,频繁换机型,苹果,3G,IOS 6.0,1,自有渠道,2012.083432,2012.083432,63.9,40.7,39.3,1.4,1.4,13.2,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
E0463270C2B59243BDA7ABED000BE838,男,37,北京,公众客户,77,频繁换机型,苹果,3G,IOS 6.0,1,自有渠道,71.090138,71.090138,24.2,0,10,0.26,0,0.2,否,国内流量套餐,10元100MB国内流量套餐
E0DC6118C6256007013ABB099646A4DF,女,31,北京,公众客户,1,频繁换机型,苹果,3G,IOS,1,自有渠道,27.416475,0,10.5,9.3,8.4,0.9,0.9,1.2,否,基本套餐,4G全国套餐-76元套餐（新）
E0F62D2B453B083265E866F1036582E6,女,,北京,公众客户,75,频繁换机型,苹果,4G,IOS 8.0,1,自有渠道,1616.646669,6.680134,101.06,16.46,10,7.46,7.2,17.6,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
E1E63C2FF0816ADD8F4CE982716C7609,男,38,天津,公众客户,9,频繁换机型,小米,4G,ANDROID 5.0,1,自有渠道,1950.064656,1950.064656,7,0.7,0.3,0.4,0.4,0.3,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
E44D5478BD58102D01E15008EDB43A19,男,39,北京,公众客户,1,频繁换机型,华为,4G,ANDROID 5.1,1,自有渠道,903.42789,1.531673,98.6,52.4,51.6,0.8,0.8,6.2,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
E4D22E3C8DAF553178773DE51F23C350,男,42,北京,公众客户,6,频繁换机型,小米,2G,ANDROID 4.3,1,自有渠道,556.147882,433.147927,28.75,15,11.4,3.6,3.6,3.75,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
E4E9F4F59D77D7F47FFC66AF151C2175,男,24,邢台,公众客户,15,频繁换机型,魅族,4G,ANDROID 4.4.2,1,自有渠道,893.638035,125.323263,95.85,57.7,52.2,4.9,5.2,12.15,否,本地套餐,4G本地套餐-26元套餐
