,用户ID,性别,年龄,归属地,客户类型,在网时长,换机频率,终端品牌,终端类型,最近使用操作系统偏好,入网渠道类型,渠道类型描述,上网流量使用,漫游流量使用,总收入,增值收入,流量收入,短信收入,彩信收入,语音收入,是否欠费,产品大类,产品分类
559,946AF4618DF0105310422EFAEA4DB2FE,男,40.0,天津,公众客户,45,频繁换机型,苹果,3G,IOS,2.0,社会渠道,336.873964,43.268963,62.5,13.3,13.2,0.1,0.0,5.2,是,省内流量套餐,30元750MB省内流量套餐
560,95DC524E7E78BA26B2D3BD9C5A948684,女,21.0,衡水,公众客户,35,频繁换机型,酷派,2G,ANDROID,2.0,社会渠道,29.707209,0.0,30.75,12.8,8.7,0.8,0.8,7.95,否,4G本地语音套餐,4G本地语音套餐-10元套餐
561,98DD427FC37E5794DDB3753FBDDF9287,男,34.0,北京,公众客户,9,频繁换机型,华为,4G,ANDROID 4.4.2,1.0,自有渠道,1269.803389,22.492898,23.2,10.0,9.9,0.1,0.1,1.2,否,校园专属-非小区A套餐,校园专属-沃派36元A套餐
562,99666FFF55CFA7033A4B368AB0DC5E33,男,18.0,天津,公众客户,14,频繁换机型,苹果,3G,IOS,2.0,社会渠道,863.335769,17.667592,121.65,81.5,81.3,0.2,0.0,10.15,是,校园专属-小区A套餐,校园专属-沃派30元A套餐（校园）
563,99EFE27AA52C7D8FADD11C75188B6878,男,25.0,天津,公众客户,29,频繁换机型,华为,4G,ANDROID 5.1,1.0,自有渠道,28.106727,28.106727,90.52,4.64,45.0,4.64,0.0,2.88,否,国内流量套餐,20元300MB国内流量套餐
565,3B5115F5A5822C887A2B248D118C8AC1,女,22.0,唐山,公众客户,9,频繁换机型,三星,2G,ANDROID 4.2.2,2.0,社会渠道,554.405853,0.0,42.65,3.1,2.4,0.7,0.7,23.55,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
566,3E5622FAD88A7CA1F14D8B228484D5E5,男,23.0,石家庄,公众客户,6,频繁换机型,小米,3G,ANDROID 4.1.1,2.0,社会渠道,1622.976862,5.734577,70.5,20.1,9.0,11.0,11.1,26.8,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
567,3F9575FB1C1362770CD60684E82F9205,女,44.0,邯郸,公众客户,26,频繁换机型,欧珀,4G,ANDROID,2.0,社会渠道,159.351588,0.0,29.25,2.8,2.7,0.1,0.1,0.45,否,4G本地语音套餐,4G本地语音套餐-26元套餐（冀）
569,3F9BFE5EDF8BEEB8728C6534544C785D,男,29.0,沧州,公众客户,8,频繁换机型,欧珀,2G,ANDROID 4.4.4,2.0,社会渠道,31.00907,0.0,48.9,12.7,9.6,0.1,0.1,16.2,否,4G本地语音套餐,4G本地语音套餐-20元套餐
570,3FBAD72A40A38F25B6870D2B26A29672,男,25.0,北京,公众客户,24,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,6894.895994,240.034259,449.6,302.0,293.0,5.2,7.0,3.6,否,国内流量套餐,90元2GB国内流量套餐
571,404D0961E6B90363996B28D6B6589A7E,男,28.0,邢台,公众客户,26,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,723.011609,0.0,113.9,59.1,44.8,13.7,14.3,30.8,否,国内流量套餐,30元500MB国内流量套餐
572,4050A4B3630A774C2A0A3454B8C12895,男,21.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,1034.696297,0.0,51.1,3.7,3.3,0.4,0.4,11.4,是,校园专属-非小区A套餐,校园专属-沃派36元A套餐
573,40719CE66706DE3FC7FF0EBE9AE149E7,男,46.0,石家庄,公众客户,19,频繁换机型,三星,3G,ANDROID 4.3,2.0,社会渠道,1.668826,1.464108,16.8,1.3,0.6,0.7,0.7,5.5,否,4G本地语音套餐,4G本地语音套餐-10元套餐
574,434C9579C65D6FDD424197255678EA9F,男,16.0,保定,公众客户,11,频繁换机型,小米,4G,ANDROID 4.4.2,2.0,社会渠道,1554.664978,0.0,47.35,10.0,0.3,0.1,0.0,1.35,否,本地套餐,4G本地套餐-36元套餐
575,4566C72A1CF928B5445B021B1C9FA004,男,22.0,保定,公众客户,6,频繁换机型,苹果,3G,IOS 6.0,2.0,社会渠道,745.096787,0.0,73.45,0.0,0.3,4.6,0.0,30.75,否,本地套餐,4G本地套餐-26元套餐
576,463CF4451B8228E53248D99848167A6E,男,41.0,衡水,公众客户,125,频繁换机型,酷派,4G,ANDROID,1.0,自有渠道,1022.058224,93.75762,108.8,27.5,27.3,0.2,0.2,42.5,否,本地套餐,4G本地套餐-16元套餐
577,4669039403E5CB84037B2FB966510A5E,女,33.0,天津,公众客户,9,频繁换机型,奥珀,4G,ANDROID,2.0,社会渠道,755.223564,0.0,46.7,0.0,1.8,0.2,0.0,6.7,否,本地套餐,4G本地套餐-40元套餐（京津）
579,4847A87CFE875AE36376EC382F51FCF2,男,20.0,北京,公众客户,3,频繁换机型,三星,3G,ANDROID 4.2.2,1.0,自有渠道,714.164478,14.50757,128.5,17.5,4.5,13.0,13.0,1.0,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
580,4848642AD27431B3E3DFD946D4F70069,男,29.0,天津,公众客户,1,频繁换机型,联想,4G,ANDROID,2.0,社会渠道,525.848146,0.0,1.3,0.7,0.6,0.1,0.1,0.6,否,本地套餐,4G本地套餐-40元套餐（天津）
581,49427D01B19A9AA7AC768743F9F90BA7,男,26.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,34.298277,0.0,37.0,4.4,0.6,3.8,3.8,32.6,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
582,49A93F750A6D174F6D2C5087E56C41C1,女,45.0,张家口,公众客户,181,频繁换机型,华为,4G,ANDROID 4.4.2,1.0,自有渠道,497.094507,102.990267,76.2,31.6,30.9,0.7,0.7,18.6,否,本地套餐,4G本地套餐-26元套餐
583,4A915C9992F9FC2067D7641EA619A5EB,男,21.0,北京,公众客户,48,频繁换机型,三星,4G,ANDROID 5.0,2.0,社会渠道,1686.327681,1686.327681,148.95,17.0,6.9,10.0,0.1,25.95,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
587,4F980E9FCA162E6235549B784CBB40CA,男,50.0,北京,公众客户,68,频繁换机型,中电,4G,IOS,1.0,自有渠道,177.298502,118.605814,389.98,0.78,5.0,1.04,0.0,88.2,否,基本套餐,296元基本套餐（含国内语音1000分钟，国内流量4GB)
589,4F1D6E14170AB086EDEADB4EA07B01D0,女,46.0,北京,公众客户,1,频繁换机型,联想,2G,ANDROID,2.0,社会渠道,137.420179,11.798045,42.15,42.0,41.4,0.3,0.3,0.15,否,本地套餐,4G本地套餐-30元套餐（京闽琼宁）
590,5097E198B781CF9C90F63B65C9556B6C,男,21.0,邢台,公众客户,2,频繁换机型,小米,4G,ANDROID 4.4.4,2.0,社会渠道,1816.726369,3.8e-05,37.85,12.2,0.3,2.9,2.9,1.0,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
591,53D1BB53C954896234FBDEB27D45DC6B,男,24.0,天津,公众客户,59,频繁换机型,苹果,4G,IOS,2.0,社会渠道,566.355328,262.863253,238.3,121.8,93.4,8.0,0.0,70.5,否,国内流量套餐,10元100MB国内流量套餐
592,549AAF8787EBD9D439CE68C8A692C862,女,28.0,天津,公众客户,55,频繁换机型,维沃,4G,ANDROID,2.0,社会渠道,4610.872673,72.58592,104.66,16.8,1.5,10.3,0.0,29.85,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
593,54F49E83A28255140FF96B42311C8A06,男,35.0,承德,公众客户,1,频繁换机型,金立,4G,ANDROID,2.0,社会渠道,1.700666,0.0,1.3,0.7,0.6,0.1,0.1,0.6,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
596,5747AF3591C96E60BD83E7FACE784EFD,女,23.0,北京,公众客户,8,频繁换机型,小米,2G,ANDROID 4.4.4,1.0,自有渠道,47.897297,12.649694,91.5,40.1,3.9,36.2,36.2,11.4,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
597,57AD3136B9185A64A63320C7FD17E7F3,男,42.0,北京,公众客户,10,频繁换机型,三星,3G,ANDROID 4.2.2,1.0,自有渠道,244.264606,0.240659,75.4,3.0,2.7,0.3,0.3,62.4,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
598,57F1C03602AFB7D7D4AAC616C23A5FA1,女,27.0,北京,公众客户,40,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,2663.725537,0.0,110.2,30.56,30.3,0.26,0.0,8.64,否,省内流量套餐,60元1.5GB省内流量套餐
600,5845C6BBC701657D8AB577D7CF71159E,男,21.0,北京,公众客户,27,频繁换机型,小米,3G,ANDROID 4.3,2.0,社会渠道,601.764,0.0,102.7,9.3,1.2,8.1,8.1,79.4,否,国内流量套餐,10元100MB国内流量套餐
601,58766B4D1E6175E18DC4D8E202819F8F,男,45.0,北京,公众客户,67,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1778.489597,1620.556391,175.68,64.6,60.0,4.6,0.8,35.08,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
605,5A6FD7F3D01447CBA263CBDC646593A3,女,32.0,天津,公众客户,39,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,937.730178,38.881465,151.55,27.9,27.9,5.2,0.0,31.05,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
606,5A7141929678DD4D64A2E31E6F698F0D,男,28.0,北京,公众客户,59,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1058.264974,87.588444,219.75,1.38,9.0,10.0,0.0,81.0,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
607,5B66F886CA1AC65C7A4DE4EBE8F72B4F,男,28.0,天津,公众客户,70,频繁换机型,苹果,4G,IOS,2.0,社会渠道,3649.210828,2967.946384,189.69,10.08,2.4,10.2,0.0,10.08,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
608,042152EE1DF52793D3781C1428E9DE17,女,27.0,石家庄,公众客户,68,频繁换机型,苹果,3G,IOS,2.0,社会渠道,590.719656,0.0,41.3,11.8,12.6,2.2,0.0,13.5,否,本地套餐,4G本地套餐-16元套餐
609,05AE8666F26BC33B7859E4B096544659,女,35.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,198.062207,198.062207,73.45,58.6,58.2,0.1,0.1,14.85,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
610,05BE7138D9BF812D7C2C1206093DF60A,女,34.0,北京,公众客户,14,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1096.118456,86.474074,77.5,34.1,26.1,8.0,0.0,3.4,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
611,061497C074C06E99C536023FCC3AAFAF,男,48.0,北京,公众客户,58,频繁换机型,金立,4G,ANDROID,1.0,自有渠道,777.502429,0.086513,158.54,9.06,5.0,1.06,0.8,18.48,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
612,064EF70636365AE616BAAF24C21176A7,女,28.0,北京,公众客户,30,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,1238.991532,545.247658,248.06,69.58,60.0,9.48,7.3,42.48,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
613,071FCB264AED95F9435B0BE11DAC6A7D,女,33.0,唐山,公众客户,2,频繁换机型,维沃,4G,ANDROID,1.0,自有渠道,0.000332,0.0,21.6,5.9,0.1,11.7,5.85,15.7,否,4G本地行业套餐,集团客户4G企业套餐（河北试点）
614,07E172FD4E0401E67EF2C388F08A0053,男,25.0,北京,公众客户,13,频繁换机型,华为,4G,ANDROID 4.4.2,1.0,自有渠道,2166.213028,411.930871,212.65,5.91,18.9,17.9,0.0,36.9,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
615,07FE21DEB785DC74A60C210F7E35F9F2,男,21.0,北京,公众客户,1,频繁换机型,维沃,4G,ANDROID,1.0,自有渠道,110.732639,0.026947,41.3,1.1,0.3,0.8,0.8,0.2,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
616,08BF5859F48C32CE9F57AD5146C514F3,男,64.0,邯郸,公众客户,1,频繁换机型,金立,2G,ANDROID,2.0,社会渠道,36.745557,0.0,28.15,12.5,11.1,1.1,1.1,10.65,否,4G本地语音套餐,4G本地语音套餐-10元套餐
617,098EEBA64F999A37167305306C90180E,女,42.0,唐山,公众客户,180,频繁换机型,华为,2G,ANDROID,1.0,自有渠道,156.421188,0.0,100.6,2.9,2.1,0.8,0.8,71.7,否,4G本地语音套餐,4G本地语音套餐-26元套餐（冀）
618,09F2A2B4B3B38A4AB11C20CF568CDB7C,男,28.0,北京,公众客户,3,频繁换机型,维沃,2G,ANDROID,1.0,自有渠道,151.892719,28.152226,52.5,10.7,8.7,2.0,2.0,1.8,是,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
619,0A032AFB061E8C6C3359E578F8973D49,男,28.0,北京,公众客户,1,频繁换机型,欧珀,2G,ANDROID 4.3,1.0,自有渠道,17.633595,0.0,6.8,5.6,5.4,0.2,0.2,1.2,是,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
621,0CBE644A64E9C8C4DA2249F06BDC968C,男,22.0,北京,公众客户,1,频繁换机型,苹果,4G,IOS 7.0,1.0,自有渠道,182.521134,0.0,57.55,1.7,1.5,0.2,0.2,5.85,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
622,0D3C2FE91993B626C3A909B9D65F54EF,男,36.0,天津,公众客户,68,频繁换机型,酷派,4G,ANDROID 5.1,2.0,社会渠道,725.382545,110.089619,72.66,32.6,27.3,5.0,0.3,3.0,是,省内流量套餐,10元150MB省内流量套餐
623,0EBD5527DC4F04EFADAE099E1A5663C0,女,42.0,天津,公众客户,2,频繁换机型,华为,2G,ANDROID 4.2.2,1.0,自有渠道,0.611492,0.0,83.65,2.0,0.3,1.7,1.7,55.65,否,4G本地语音套餐,4G本地语音套餐-26元套餐
624,0EF811042B3290F77E54880242EE10A1,男,47.0,天津,公众客户,1,频繁换机型,三星,3G,ANDROID,2.0,社会渠道,0.011071,0.0,0.75,0.6,0.3,0.3,0.3,0.15,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
625,0FC7B5401325F874F18A8E4C643CC693,男,52.0,北京,公众客户,33,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,2463.857559,0.0,66.0,47.6,47.4,0.2,0.2,8.4,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
626,103FDD86FB416528953E95DA2FDBDCFB,男,29.0,天津,公众客户,75,频繁换机型,华为,4G,ANDROID 5.1,1.0,自有渠道,301.80463,0.0,82.9,20.7,20.4,0.3,0.0,16.2,否,国内流量套餐,10元100MB国内流量套餐
627,10C7A79004CBDE7AD6C6CF7680C02B18,男,58.0,天津,公众客户,22,频繁换机型,小米,4G,ANDROID 4.4.2,1.0,自有渠道,74.030633,0.0,56.45,15.3,0.3,15.0,0.0,3.9,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
628,10E047C29B36293F13CCA52D83763792,女,31.0,北京,公众客户,10,频繁换机型,小米,4G,ANDROID 5.0,1.0,自有渠道,613.840201,20.205692,10.7,0.4,0.3,0.1,0.1,0.3,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
629,5B7BDBF20DEA39E95051FDB1D015FBE0,男,44.0,天津,公众客户,75,频繁换机型,乐视,4G,ANDROID,1.0,自有渠道,120.672528,0.000778,30.2,0.0,0.3,3.0,0.0,10.7,否,本地套餐,4G本地套餐-26元套餐
630,5C33FB7D000FFD2295B50D35AA4D0287,男,39.0,天津,公众客户,149,频繁换机型,苹果,3G,IOS,2.0,社会渠道,196.586686,24.363213,49.15,8.1,6.9,0.3,0.0,13.05,否,省内流量套餐,10元150MB省内流量套餐
632,5E3EBA23FDBB99A48CEA2DD43FB7587C,女,41.0,北京,公众客户,14,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,6157.706981,0.0,158.6,120.4,120.0,0.3,0.4,28.2,是,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
633,6044B7420F71CDA41C6A918392FFA294,女,24.0,石家庄,公众客户,9,频繁换机型,华为,3G,ANDROID 4.2.2,2.0,社会渠道,653.05409,0.0,54.9,37.7,35.1,2.6,2.6,1.2,否,校园专属-非小区B套餐,校园专属-沃派26元B套餐
634,6080F874D0BD2B799A8D05014732B2BC,男,31.0,北京,公众客户,126,频繁换机型,华为,4G,ANDROID 5.0.2,2.0,社会渠道,4427.767885,0.0,423.5,257.0,227.0,30.0,0.0,0.5,否,国内流量套餐,10元100MB国内流量套餐
635,60E7BA518A30CAED3D65F1AF675C916D,女,18.0,邯郸,公众客户,1,频繁换机型,奥珀,4G,ANDROID,2.0,社会渠道,314.813946,0.0,73.95,61.5,60.0,1.5,1.5,12.45,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
636,60F5983CFC034061CF851DCFFF850796,男,30.0,天津,公众客户,29,频繁换机型,魅族,4G,ANDROID 4.0,1.0,自有渠道,328.972826,116.219237,59.2,5.9,5.8,0.1,0.0,15.3,是,国内流量套餐,20元300MB国内流量套餐
638,1E517E647B8E577F65DC75ADB3456411,男,37.0,天津,公众客户,11,频繁换机型,三星,3G,ANDROID 4.2.2,2.0,社会渠道,1201.406331,0.0,65.04,10.0,24.9,0.1,0.0,23.04,否,本地套餐,4G本地套餐-40元套餐（京津）
639,1EBEC6A56CE15A4103321FCB72DD5401,男,22.0,天津,公众客户,1,频繁换机型,小米,4G,ANDROID 4.4.2,1.0,自有渠道,912.778923,0.0,29.8,2.9,1.5,1.4,1.4,0.9,否,本地套餐,4G本地套餐-26元套餐
640,1EEBF4BF20C65947ACDAD6D988138901,男,27.0,北京,公众客户,13,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,727.640488,0.078473,70.85,11.5,1.5,10.0,0.0,19.35,否,本地套餐,4G本地套餐-40元套餐（京津）
641,1F966D38E05F1B4A4FE5036EC2BE5E59,女,19.0,沧州,公众客户,9,频繁换机型,金立,4G,ANDROID,1.0,自有渠道,313.461981,0.0,115.75,95.4,93.9,1.5,1.5,10.35,否,4G本地语音套餐,4G本地语音套餐-10元套餐
642,1FA9C9A57EAC4C60771D4D9611E6F5AE,男,30.0,唐山,公众客户,44,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,1693.561693,82.652746,22.6,7.3,7.2,0.1,0.1,9.3,否,4G全国语音套餐,4G主副卡业务-语音副卡基本套餐
643,001D020B45457C81D9E846A70F964B1C,男,52.0,天津,公众客户,60,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,3491.713457,85.759259,105.63,20.29,0.3,0.1,0.0,13.06,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
644,002579602A468F47B509510E728BA975,女,20.0,石家庄,公众客户,34,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,756.249414,15.984336,46.2,5.4,4.8,0.6,0.6,4.8,否,本地套餐,4G本地套餐-36元套餐
645,01533769EED9C58CA08BF71EA69DEE51,女,23.0,天津,公众客户,19,频繁换机型,酷派,3G,ANDROID,2.0,社会渠道,62.098828,0.095427,102.65,34.0,0.3,0.1,0.0,28.65,否,本地套餐,4G本地套餐-40元套餐（京津）
646,01E7B679D08A641545C798C1BF1A0FCD,女,26.0,北京,公众客户,20,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,2783.231216,0.0,600.89,212.7,194.7,7.9,9.0,300.15,否,校园专属-非小区A套餐,校园专属-沃派26元A套餐
647,34E73F7B620419C4500B89395098D0E9,男,17.0,天津,公众客户,12,频繁换机型,苹果,3G,IOS,1.0,自有渠道,1223.077334,0.0,114.89,51.0,60.0,0.1,0.0,16.01,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
648,35B93CF42EBFED6382CAB5969FE890EA,女,15.0,北京,公众客户,1,频繁换机型,华为,4G,ANDROID 5.1,1.0,自有渠道,1234.729194,0.0,205.0,139.1,138.6,0.5,0.5,39.9,否,校园专属-非小区A套餐,校园专属-沃派26元A套餐
650,362A747B5F66CB1FC0377D9A6476CF9B,女,42.0,天津,公众客户,15,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,3146.38558,2.860321,212.87,140.4,65.4,19.0,0.0,4.2,否,省内流量套餐,10元150MB省内流量套餐
651,3759B92FD02A0EC1D66F3F1E3B5C6E71,女,62.0,天津,公众客户,18,频繁换机型,小米,4G,ANDROID 5.1.1,1.0,自有渠道,1047.196403,0.0,250.8,69.28,60.0,21.28,0.0,96.72,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
652,383C2E51E8E0719D49CE64EF8C3E7CAB,女,61.0,天津,公众客户,4,频繁换机型,苹果,3G,IOS,2.0,社会渠道,950.768334,120.939726,90.86,27.9,27.9,7.4,0.0,35.4,否,本地套餐,4G本地套餐-26元套餐
653,38567B756C21BDD708334726F30E2389,女,30.0,北京,公众客户,53,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,2885.44941,0.0,418.5,359.9,358.5,2.0,0.0,0.6,否,省内流量套餐,60元1.5GB省内流量套餐
654,3870B0F5CDAF9777C236F4EDA10A4A48,男,28.0,邯郸,公众客户,3,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,104.325686,10.117629,67.85,4.0,2.1,1.9,1.9,33.85,否,4G本地语音套餐,4G本地语音套餐-20元套餐
655,3A1061E0EC13AA1A1822C221FC457687,男,25.0,秦皇岛,公众客户,5,频繁换机型,小米,4G,ANDROID 5.1.1,2.0,社会渠道,195.824747,0.0,122.9,1.65,3.6,0.7,0.0,18.17,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
656,3A1470BC9B1143D3BA2F30FCF3BDE316,女,67.0,北京,公众客户,42,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,3046.826395,189.646453,187.44,0.0,6.0,0.76,0.0,9.44,否,基本套餐,166元基本套餐（含国内语音500分钟，国内流量2GB）
657,3AAF41E6FD099C23E61DF64607881820,女,19.0,北京,公众客户,25,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,540.85349,0.0,142.8,107.0,87.0,15.0,0.0,19.8,否,校园专属-非小区基本套餐,校园专属-沃派16元套餐(北京)
658,3B876A5FE30600DF0712937CE879DFA0,男,30.0,保定,公众客户,77,频繁换机型,三星,4G,ANDROID 6.0,1.0,自有渠道,513.578593,3.953077,161.6,20.92,11.1,1.6,1.6,66.9,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
659,3C58AA29E8093637BFF5293FE648F4C5,女,25.0,承德,公众客户,12,频繁换机型,苹果,4G,IOS 9.0,2.0,社会渠道,1330.276248,62.962502,111.51,67.1,60.0,7.1,7.1,3.3,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
660,00D8567E57F1AB119F8F6F34F007CA8C,男,31.0,天津,公众客户,117,频繁换机型,苹果,4G,IOS 9.0,1.0,自有渠道,23909.90036,1118.269518,1087.76,584.42,695.0,0.46,0.0,231.15,否,基本套餐,196元基本套餐（含国内语音500分钟，国内流量3GB）
661,00E4DAEDE19947FCFC6948C33A973FF3,男,36.0,天津,公众客户,57,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,2113.16887,52.09291,185.07,42.4,37.2,5.0,0.2,33.6,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
662,0142A25B8D419B5E742024E7DD9FBBD0,男,32.0,天津,公众客户,1,频繁换机型,苹果,4G,IOS,2.0,社会渠道,379.309173,276.437645,68.45,60.5,58.2,0.5,0.5,7.95,否,基本套餐,136元基本套餐（含国内语音500分钟，国内流量1GB）
663,01E30BED19D07E04457BBC5CF5A69FF1,男,31.0,邯郸,公众客户,1,频繁换机型,三星,4G,ANDROID 5.1.1,1.0,自有渠道,308.955612,0.0,72.0,61.3,61.2,0.1,0.1,2.7,否,4G本地行业套餐,集客4G本地行业套餐-智慧党建16元套餐（冀）
664,02A955BBA38E9E6B125431C5C9E33E43,男,23.0,唐山,公众客户,15,频繁换机型,苹果,3G,IOS 6.0,1.0,自有渠道,1115.415205,18.409942,114.35,10.7,9.6,1.0,1.1,37.65,否,本地套餐,4G本地套餐-36元套餐
665,03172185DC3380E357A6865D22D62735,女,45.0,北京,公众客户,1,频繁换机型,酷派,4G,ANDROID,1.0,自有渠道,0.487946,0.0,0.9,0.6,0.3,0.3,0.3,0.3,否,基本套餐,106元基本套餐（含国内语音300分钟，国内流量800MB）
666,03361F51F2A2603232016730C7B0399A,男,19.0,天津,公众客户,1,频繁换机型,华为,2G,ANDROID 4.3,2.0,社会渠道,192.100822,192.098694,51.85,31.4,27.9,0.5,0.0,10.45,否,本地套餐,4G本地套餐-40元套餐（京津）
668,08D885C3ECEA5240F5118230E0EB1C11,男,35.0,邢台,公众客户,41,频繁换机型,维沃,2G,ANDROID,2.0,社会渠道,74.344235,12.847883,33.2,22.6,22.5,0.4,0.4,0.6,否,4G本地语音套餐,4G本地语音套餐-10元套餐
669,09EF2EE273CF459F6CE0DDD3F2CE9B9E,男,27.0,天津,公众客户,54,频繁换机型,苹果,4G,IOS 7.0,2.0,社会渠道,669.173107,33.483409,78.04,0.0,6.0,5.0,0.0,2.95,是,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
670,0B43BD05ECA8E69F5EA738D4B0239017,男,26.0,天津,公众客户,8,频繁换机型,华为,4G,ANDROID 4.4,1.0,自有渠道,679.308875,353.837094,70.04,2.36,2.1,0.26,0.0,17.34,是,智慧沃家共享,智慧沃家共享套餐-全国流量包79.9元2GB
671,2BD07736D1916F0C5D5B2823B9762A19,男,22.0,天津,公众客户,22,频繁换机型,华为,4G,ANDROID 4.4.2,2.0,社会渠道,1933.589413,210.150573,80.2,10.2,7.2,3.0,0.0,10.0,否,校园专属-沃派,4G校园套餐-沃派60元套餐
672,2C39B9AAA1E06517A97364B4CBC11D22,男,23.0,北京,公众客户,3,频繁换机型,华为,4G,ANDROID 4.4.2,1.0,自有渠道,2484.608357,0.0,255.0,164.0,146.7,7.1,7.1,51.0,否,4G本地行业套餐,集客4G本地行业套餐-36元套餐（京）
675,2FF9818F71D41FA771B7F2102B1D4F61,男,38.0,天津,公众客户,110,频繁换机型,苹果,4G,IOS 8.0,2.0,社会渠道,2495.972769,290.5458,338.75,219.9,219.9,5.0,0.0,83.85,否,本地套餐,4G本地套餐-40元套餐（京津）
676,30CA009225A84D6B95A78C0FC8A71CBC,男,27.0,北京,公众客户,1,频繁换机型,奇酷,2G,ANDROID,1.0,自有渠道,29.597077,29.597077,16.5,9.1,9.0,0.1,0.1,3.4,否,省内流量套餐,10元150MB省内流量套餐
677,31917B58CD051841EE50D8E41CC0EFD0,男,39.0,天津,公众客户,188,频繁换机型,小米,4G,ANDROID 5.0.2,1.0,自有渠道,2634.506299,0.0,188.95,109.2,108.3,11.0,0.0,5.95,否,基本套餐,76元基本套餐（含国内语音200分钟，国内流量400MB）
678,3366F6C4ACE360E4BF1184F315ED7ECF,男,58.0,天津,公众客户,6,频繁换机型,三星,4G,ANDROID 5.1,1.0,自有渠道,2.491386,0.080096,69.22,1.52,5.0,1.52,0.0,7.44,否,智慧沃家共享,智慧沃家共享套餐-全国流量包49.9元1GB
679,34134594CDB1B1E1D259301B46F5A1B3,男,33.0,北京,公众客户,29,频繁换机型,苹果,4G,IOS 8.0,1.0,自有渠道,791.90417,59.330883,53.45,10.36,8.6,1.76,0.0,4.4,是,省内流量套餐,20元450MB省内流量套餐
